,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,cleaning_fee,guests_included,extra_people,maximum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,first_review_since_host,last_review_month,host_active_days,Wireless Internet,Heating,Kitchen,Smoke Detector,Essentials,Dryer,Washer,Internet,Shampoo,TV,Carbon Monoxide Detector,Fire Extinguisher,Free Parking on Premises,Family/Kid Friendly,First Aid Kit,Cable TV,Indoor Fireplace,Pets live on this property,Hangers,Elevator in Building,Hair Dryer,Laptop Friendly Workspace,Iron,Safety Card,Air Conditioning,24-Hour Check-in,Buzzer/Wireless Intercom,Pets Allowed,Gym,yield
333,within an hour,50-89%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Shared room,1,1.0,1.0,1.0,28.0,2,30.0,1125,89,95-100/100,0-8/10,0-8/10,0-8/10,0-8/10,0-8/10,10/10,0.0,flexible,0.0,0.0,37,2-3 years,2-6 months,1554.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
334,within an hour,50-89%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Shared room,1,1.0,1.0,1.0,35.0,1,0.0,1125,90,80-94/100,9/10,0-8/10,9/10,10/10,10/10,10/10,0.0,strict,0.0,0.0,37,2-3 years,2-6 months,1554.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.400000000000006
335,within an hour,50-89%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Shared room,1,1.0,1.0,1.0,35.0,1,0.0,1125,90,0-79/100,0-8/10,0-8/10,10/10,0-8/10,10/10,10/10,0.0,flexible,0.0,0.0,37,2-3 years,2-6 months,1554.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.99999999999999
336,within a few hours,100%,1.0,1.0,1.0,Other neighborhoods,1.0,Apartment,Entire home/apt,4,1.0,2.0,2.0,0.0,2,15.0,29,47,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,strict,0.0,0.0,1,1-2 years,2-8 weeks,1072.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.9
337,within an hour,100%,0.0,1.0,1.0,Other neighborhoods,1.0,Apartment,Entire home/apt,6,1.0,2.0,4.0,0.0,1,0.0,1125,0,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0.0,moderate,0.0,0.0,1,0-6 months,0-2 weeks,575.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,833.0
338,within a few hours,100%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Entire home/apt,6,1.0,2.0,4.0,90.0,2,15.0,1125,90,80-94/100,10/10,10/10,10/10,10/10,10/10,9/10,1.0,moderate,0.0,0.0,1,6-12 months,2-8 weeks,948.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,604.8
339,within an hour,50-89%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Shared room,1,1.0,1.0,1.0,35.0,1,0.0,1125,90,80-94/100,0-8/10,0-8/10,10/10,10/10,10/10,10/10,0.0,strict,0.0,0.0,37,2-3 years,2-6 months,1554.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.19999999999999
340,within an hour,50-89%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Shared room,1,1.0,1.0,1.0,35.0,1,0.0,1125,89,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,strict,0.0,0.0,37,no reviews,no reviews,1554.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,within a few hours,100%,1.0,1.0,0.0,Other neighborhoods,1.0,Apartment,Entire home/apt,2,1.0,1.0,1.0,0.0,1,0.0,1125,86,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0.0,flexible,0.0,0.0,1,0-6 months,2-6 months,961.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,385.20000000000005
342,within a day,50-89%,1.0,1.0,1.0,Other neighborhoods,1.0,House,Entire home/apt,4,1.0,1.0,2.0,70.0,2,10.0,1125,19,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,0.0,0.0,1,1-2 years,0-2 weeks,1013.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.68
343,within a day,90-99%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Private room,2,1.0,1.0,1.0,0.0,1,10.0,31,72,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,flexible,1.0,1.0,2,6-12 months,2-8 weeks,1640.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4
344,unknown,unknown,0.0,1.0,0.0,Other neighborhoods,1.0,House,Entire home/apt,7,3.0,4.0,5.0,90.0,1,0.0,1125,0,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,moderate,0.0,0.0,1,no reviews,no reviews,75.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
