,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_90,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,first_review_since_host,last_review_month,host_active_days,Wireless_Internet,Heating,Kitchen,Smoke_Detector,Essentials,Dryer,Washer,Internet,Shampoo,TV,Carbon_Monoxide_Detector,Fire_Extinguisher,Free_Parking_on_Premises,Family/Kid_Friendly,First_Aid_Kit,Cable_TV,Indoor_Fireplace,Pets_live_on_this_property,Hangers,Elevator_in_Building,Hair_Dryer,Laptop_Friendly_Workspace,Iron,Safety_Card,Air_Conditioning,24-Hour_Check-in,Buzzer/Wireless_Intercom,Pets_Allowed,Gym,yield
2264,2226123,2012-04-26,unknown,unknown,0.0,1.0,1.0,Rainier Valley,98118,47.55210440169434,-122.2810286073925,1.0,House,Entire home/apt,4,1.5,2.0,2.0,175.0,"$1,000.00",150.0,3,0.0,7,150,56,,,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,strict,0.0,0.0,1,0.0,no reviews,no reviews,1348.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2265,750650,2011-06-27,within an hour,100%,0.0,1.0,1.0,Rainier Valley,98118,47.56185200419561,-122.27856473633587,1.0,House,Entire home/apt,6,1.0,3.0,4.0,199.0,,106.0,4,20.0,2,180,46,2015-08-03,2015-11-09,80-94/100,9/10,10/10,9/10,9/10,9/10,9/10,0.0,strict,0.0,0.0,1,1.35,4+ years,2-8 weeks,1652.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.3000000000001
2266,31664755,2015-04-21,within an hour,100%,0.0,1.0,0.0,Rainier Valley,98118,47.556673147882655,-122.28230545492693,1.0,House,Entire home/apt,8,2.0,3.0,5.0,109.0,,60.0,4,25.0,1,1125,69,2015-11-29,2015-12-30,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1.0,strict,0.0,0.0,1,3.24,6-12 months,0-2 weeks,258.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,353.16
2267,34946797,2015-06-03,within an hour,100%,0.0,1.0,0.0,Rainier Valley,98118,47.56085902790564,-122.27596785564471,1.0,House,Entire home/apt,4,1.0,1.0,2.0,70.0,$400.00,0.0,2,10.0,2,1125,78,2015-10-11,2015-12-24,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1.0,flexible,0.0,0.0,1,4.53,0-6 months,0-2 weeks,215.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,634.2
2268,4154214,2012-11-14,unknown,unknown,0.0,1.0,0.0,Rainier Valley,98118,47.55142191958175,-122.28087470544064,1.0,House,Private room,2,1.5,1.0,1.0,58.0,$370.00,20.0,1,25.0,3,180,90,2012-12-11,2014-10-25,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0.0,strict,0.0,0.0,1,0.64,0-6 months,1+ year,1146.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.36
2269,47593725,2015-10-27,within a day,50-89%,0.0,1.0,1.0,Rainier Valley,98118,47.5519523237381,-122.2878218977537,1.0,House,Private room,2,1.0,1.0,1.0,35.0,,15.0,1,15.0,1,4,59,2015-11-10,2015-12-18,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,flexible,0.0,0.0,2,2.14,0-6 months,2-8 weeks,69.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9
2270,10371342,2013-12-01,within a few hours,50-89%,0.0,1.0,0.0,Rainier Valley,98118,47.56432648236372,-122.28829203724352,1.0,House,Entire home/apt,8,3.0,4.0,5.0,300.0,"$1,950.00",0.0,8,25.0,3,31,83,2014-01-01,2015-12-01,80-94/100,10/10,9/10,10/10,10/10,0-8/10,9/10,0.0,moderate,0.0,0.0,1,0.65,0-6 months,2-8 weeks,764.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0
2271,13796401,2014-04-01,within an hour,100%,1.0,1.0,0.0,Rainier Valley,98118,47.55585809875672,-122.27292114415428,1.0,House,Entire home/apt,2,1.0,1.0,1.0,95.0,$650.00,60.0,1,0.0,3,1125,1,2014-07-15,2015-11-01,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,strict,0.0,0.0,1,1.0,0-6 months,2-6 months,643.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0
2272,8575503,2013-09-02,within a day,100%,0.0,1.0,0.0,Rainier Valley,98118,47.55241211733809,-122.2741804769025,1.0,House,Private room,1,1.0,1.0,1.0,50.0,,0.0,1,0.0,1,3,89,,,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,flexible,0.0,0.0,1,0.0,no reviews,no reviews,854.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2273,41775435,2015-08-18,within an hour,100%,0.0,1.0,1.0,Rainier Valley,98144,47.58900742765114,-122.29743337153411,1.0,House,Private room,2,1.0,1.0,1.0,49.0,,0.0,1,25.0,2,15,89,2015-12-31,2015-12-31,95-100/100,10/10,10/10,10/10,10/10,0-8/10,10/10,0.0,moderate,0.0,0.0,3,1.0,0-6 months,0-2 weeks,139.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,98.0
